"","angstrom","value","u","line"
"37",3680,1.433619,0.00992791039321,TRUE
"45",3720,1.547346,0.00851373444601004,TRUE
"48",3735,1.641734,0.0272813931726399,TRUE
"49",3740,1.681988,0.0754038419257601,TRUE
"51",3750,1.764113,0.11131992023296,TRUE
"53",3760,1.854317,0.0277625243168101,TRUE
"54",3765,1.852838,0.01311373103104,TRUE
"55",3770,1.888667,0.19686738276676,TRUE
"57",3780,2.146402,0.14662205923876,TRUE
"58",3785,2.163529,0.12730381377156,TRUE
"60",3795,1.986959,0.34778159084601,TRUE
"61",3800,1.973707,0.26806972227025,TRUE
"62",3805,2.132653,0.0160852654872901,TRUE
"63",3810,2.356689,0.16233558169921,TRUE
"64",3815,2.503744,0.15623117906881,TRUE
"65",3820,2.482111,0.0940359397478401,TRUE
"66",3825,2.261844,0.0165442105504899,TRUE
"67",3830,2.009666,0.13665820086361,TRUE
"68",3835,1.906776,0.55113905167876,TRUE
"69",3840,1.995602,0.0390416500281601,TRUE
"70",3845,2.252954,0.0261964907208899,TRUE
"71",3850,2.531938,0.0320466208464901,TRUE
"72",3855,2.693289,0.0288313268444099,TRUE
"73",3860,2.751956,0.02027588036356,TRUE
"74",3865,2.745587,0.04034345410624,TRUE
"75",3870,2.648419,0.0667552119220901,TRUE
"76",3875,2.438786,0.0421628318288099,TRUE
"78",3885,1.940125,0.30653441268025,TRUE
"79",3890,1.84041,0.41202765047844,TRUE
"81",3900,2.180032,0.02087478825721,TRUE
"82",3905,2.424241,0.0522537081264901,TRUE
"83",3910,2.607671,0.0315235053619601,TRUE
"84",3915,2.687423,0.00878223882496001,TRUE
"87",3930,2.700397,0.0284972550076901,TRUE
"88",3935,2.703278,0.01715782994641,TRUE
"89",3940,2.705623,0.02086664031841,TRUE
"90",3945,2.692177,0.0577978816616099,TRUE
"91",3950,2.612352,0.0954952763336101,TRUE
"92",3955,2.426289,0.0729805362308101,TRUE
"94",3965,1.924401,0.20872964865636,TRUE
"95",3970,1.819931,0.55106763632449,TRUE
"96",3975,1.958815,0.0355999914561601,TRUE
"97",3980,2.226688,0.0165636642600101,TRUE
"98",3985,2.478003,0.0338207547776399,TRUE
"99",3990,2.656709,0.02927476514169,TRUE
"116",4075,2.551828,0.01342727055121,TRUE
"117",4080,2.462765,0.0360074913409599,TRUE
"118",4085,2.296297,0.04098268238724,TRUE
"119",4090,2.077082,0.01329948658756,TRUE
"120",4095,1.856789,0.02821553343504,TRUE
"121",4100,1.738852,0.36283648535281,TRUE
"122",4105,1.803628,0.13920323690025,TRUE
"124",4115,2.197131,0.0320218856515601,TRUE
"125",4120,2.36652,0.02856062820121,TRUE
"164",4315,2.11182,0.01688931568921,TRUE
"165",4320,2.01194,0.0272640529948901,TRUE
"166",4325,1.859593,0.02733701798881,TRUE
"168",4335,1.538813,0.0545738657102499,TRUE
"169",4340,1.49422,0.27370799987521,TRUE
"170",4345,1.602075,0.05179952954401,TRUE
"172",4355,1.942997,0.02178549432081,TRUE
"173",4360,2.060429,0.01772058828969,TRUE
"268",4835,1.510804,0.01205799451921,TRUE
"269",4840,1.453987,0.01505060322481,TRUE
"270",4845,1.354403,0.01212009433569,TRUE
"272",4855,1.110961,0.02504689229641,TRUE
"273",4860,1.054478,0.11640699951409,TRUE
"274",4865,1.101087,0.02719329623521,TRUE
"614",6565,0.53201,0.00970134382115999,TRUE
